"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"KIF14",-241.028,362.468222222222,-8.04436083629377,3.98923853545524e-10,1.80592828500059e-07,-3.12473744901266,"Downregulated"
"IER2",-492.052,1141.00555555556,-7.85255249035966,7.47506425708768e-10,3.22282056112723e-07,-3.15544591161703,"Downregulated"
"LBR",-403.902,1186.35733333333,-7.69495257093219,1.2552515469882e-09,4.94132500279615e-07,-3.18141522329705,"Downregulated"
"BUB1B",-276.622,537.268888888889,-7.56561787442453,1.92362167290414e-09,7.25686276103086e-07,-3.20323173563328,"Downregulated"
"CDC20",-1233.31133333333,1200.96355555556,-7.48804927897121,2.48639319730669e-09,8.6583861570826e-07,-3.21653679350181,"Downregulated"
"CENPE",-130.843333333333,131.539333333333,-7.2522788515144,5.43790689232539e-09,1.6411603001038e-06,-3.25800431303738,"Downregulated"
"UBE2C",-1083.48266666667,1869.176,-7.11812206863898,8.50134370060036e-09,2.48294083436244e-06,-3.28229614025552,"Downregulated"
"HMMR",-475.714666666667,678.954444444444,-6.84006311390949,2.15261308346119e-08,5.90598753262352e-06,-3.334268412527,"Downregulated"
"KIF23",-137.604666666667,153.838,-6.81214171429244,2.36352877290676e-08,6.29393809114641e-06,-3.33960878572893,"Downregulated"
"AURKA",-439.173,499.075333333333,-6.58961708351246,4.98286019388286e-08,1.21931935663285e-05,-3.38296407662232,"Downregulated"
"GTF2E2",-201.298666666667,572.176222222222,-6.42599870710061,8.62911870029067e-08,1.91918588090155e-05,-3.41574113519235,"Downregulated"
"MKI67",-196.809666666667,451.693222222222,-6.42387678505462,8.69081302374237e-08,1.91918588090155e-05,-3.41617119569519,"Downregulated"
"CKAP5",-180.251333333333,487.769777777778,-6.32039615633218,1.23016400111848e-07,2.6285253360877e-05,-3.43729831557483,"Downregulated"
"ARHGAP19",-74.2819999999999,185.426444444444,-6.31602342249013,1.24836082893496e-07,2.6285253360877e-05,-3.43819771421103,"Downregulated"
"CKS2",-1039.372,2077.37022222222,-6.19086506761837,1.90048669130129e-07,3.7406535876178e-05,-3.46416768756037,"Downregulated"
"MYC",-223.368833333333,458.525444444444,-6.17361040173262,2.01384242811249e-07,3.83374506425351e-05,-3.46778224240248,"Downregulated"
"CCNB2",-442.208,831.911333333333,-6.17086824491905,2.03246921895481e-07,3.83374506425351e-05,-3.46835743822523,"Downregulated"
"NEK2",-101.313333333333,185.339111111111,-6.13281819030803,2.3094220903894e-07,4.26724645028279e-05,-3.47636033875714,"Downregulated"
"CCNF",-173.797111111111,322.688148148148,-6.09067133626449,2.66039803106e-07,4.72298897514063e-05,-3.48527160004137,"Downregulated"
"UBE2S",-1290.784,2411.0517037037,-5.9839983202027,3.80536344180819e-07,6.50070954757195e-05,-3.5080436147009,"Downregulated"
"ARHGAP11A",-30.5246666666667,49.0737777777778,-5.76029991232035,8.05218240275714e-07,0.000123566880465361,-3.55679383240378,"Downregulated"
"KIFC1",-146.311555555555,362.061111111111,-5.71506371804137,9.36767932717141e-07,0.000139040932177393,-3.56681265543122,"Downregulated"
"KPNA2",-628.136,1446.84444444444,-5.68659700436322,1.03030329550195e-06,0.000150457516733463,-3.57314456241166,"Downregulated"
"GTSE1",-116.507777777778,365.897111111111,-5.59250538872384,1.41073099980786e-06,0.000199574351129068,-3.59422090804461,"Downregulated"
"SUN2",-266.692666666667,818.868222222222,-5.36126171137534,3.04612523749121e-06,0.000368540645812804,-3.64695104500024,"Downregulated"
"TFAP4",-123.882,323.512,-5.35723081234272,3.08715659245432e-06,0.000368540645812804,-3.64788157134437,"Downregulated"
"SEC62",-106.012666666667,357.763444444444,-5.34161878841497,3.25131354695744e-06,0.000382303803300683,-3.65148915351928,"Downregulated"
"RAD21",-435.264,1760.13444444444,-5.28490766422156,3.92382244937236e-06,0.000444078605707717,-3.66464112418977,"Downregulated"
"AMD1",-188.516833333334,688.003944444444,-5.2538884080546,4.34823344979563e-06,0.000476742568648355,-3.67186583209321,"Downregulated"
"CENPF",-141.822666666667,254.636888888889,-5.25235164009003,4.37040348992859e-06,0.000476742568648355,-3.6722243241109,"Downregulated"
"CCNA2",-403.312333333333,951.465111111111,-5.18392170429982,5.47977908403138e-06,0.000583693174433178,-3.68824051303793,"Downregulated"
"PPP1R2",-66.2624444444443,301.633333333333,-5.06160759126761,8.19972850824767e-06,0.000861953001580865,-3.71711959466348,"Downregulated"
"KIF2C",-226.958,577.924222222222,-5.01257820905451,9.63255509391738e-06,0.00095838630571789,-3.72878259864413,"Downregulated"
"SPAG5",-154.921333333333,404.412,-4.98583242933471,1.05157020528818e-05,0.00102375447727733,-3.73516503284702,"Downregulated"
"KIF11",-249.732666666667,644.877111111111,-4.95145263721254,1.17692216057099e-05,0.00112166876229576,-3.74338969178789,"Downregulated"
"H2AX",-428.579333333334,1165.73977777778,-4.79486939147385,1.96143511900177e-05,0.00184483204851747,-3.78112705918738,"Downregulated"
"TTK",-143.989333333333,429.978,-4.79252129664183,1.97646022427872e-05,0.00184483204851747,-3.78169627489225,"Downregulated"
"PPP2R2A",-104.240666666666,561.486888888889,-4.7008887401181,2.66019558813167e-05,0.00243286978332769,-3.80398093921235,"Downregulated"
"CSK",-385.438666666668,1973.70222222222,-4.69130523973534,2.74392596419563e-05,0.00246796405190775,-3.80631941401592,"Downregulated"
"SASH3",-225.708666666667,760.198444444444,-4.68449657840832,2.80498210290734e-05,0.00248650011003869,-3.80798166731816,"Downregulated"
"NDC80",-200.606,553.193777777778,-4.68189210279387,2.8286891024297e-05,0.00248650011003869,-3.8086177084934,"Downregulated"
"DBF4",-71.0200000000001,213.249111111111,-4.65260868087855,3.10918008471698e-05,0.00266390851536844,-3.81577616612357,"Downregulated"
"IRF4",-315.037777777778,1270.8022962963,-4.65165308471224,3.11877957399e-05,0.00266390851536844,-3.81600998385056,"Downregulated"
"EIF4E",-36.5440000000001,133.692444444444,-4.64146891303428,3.22291185255423e-05,0.00272712559934823,-3.81850271781578,"Downregulated"
"CDKN3",-194.666666666667,525.767777777778,-4.63797443224707,3.25942397611542e-05,0.00273248376664343,-3.81935840024003,"Downregulated"
"TENT4A",-75.0706666666667,276.204888888889,-4.60917672470436,3.57620254455635e-05,0.00297054475581773,-3.8264167878459,"Downregulated"
"ARL6IP1",-310.298666666666,1452.46111111111,-4.56793824262059,4.08308603265205e-05,0.00330255391706596,-3.83654494338902,"Downregulated"
"HLTF",-74.1059999999999,203.033333333333,-4.56776688140782,4.08533287730713e-05,0.00330255391706596,-3.83658707866833,"Downregulated"
"CUL4B",-74.8413333333334,368.389333333333,-4.53584158174263,4.52580674243845e-05,0.0035712831192976,-3.84444392817949,"Downregulated"
"TRAF3IP3",-88.9856666666666,344.5755,-4.52715070892508,4.65357306725849e-05,0.00360114961974003,-3.84658508863991,"Downregulated"
"USP7",-138.5,727.377333333333,-4.47850663624012,5.43673743419893e-05,0.00410201839410309,-3.85858715865353,"Downregulated"
"FOXJ3",-72.9973333333334,519.695111111111,-4.43012345141837,6.3433617901171e-05,0.00470760636456723,-3.87055318719827,"Downregulated"
"GTF2E1",-51.2086666666667,300.310666666667,-4.40680064245404,6.83173289281496e-05,0.00502882191963794,-3.87633083082216,"Downregulated"
"ESPL1",-161.240666666667,597.032888888889,-4.39060779858288,7.19225601585222e-05,0.005251506932865,-3.88034566599217,"Downregulated"
"LPCAT4",-69.388,42.8215555555556,-4.37728976391709,7.50266746216406e-05,0.0053912024763836,-3.88364978695538,"Downregulated"
"XPO1",-347.942666666666,2060.12777777778,-4.37075305890567,7.65977940916159e-05,0.00546075927327158,-3.88527216909788,"Downregulated"
"ARHGEF7",-127.168,961.544,-4.32236052869926,8.9273088684567e-05,0.0062657251546517,-3.89729606781185,"Downregulated"
"RRS1",-127.804,323.203333333333,-4.30919359525129,9.30626893140379e-05,0.0064814583773023,-3.9005714153864,"Downregulated"
"CRLF3",-188.636,723.906,-4.29075755415023,9.8634007559635e-05,0.00678769279792299,-3.90516007196829,"Downregulated"
"MAK16",-56.9933333333334,267.389333333333,-4.22141979848104,0.000122654649675141,0.00806258584879601,-3.92244297192656,"Downregulated"
"MACIR",-111.045333333333,330.010888888889,-4.17977979966713,0.000139728782199867,0.00904757846892143,-3.93283898555777,"Downregulated"
"CDR2",-50.7466666666667,181.120666666667,-4.17872791490595,0.000140188791435425,0.00904757846892143,-3.93310175092455,"Downregulated"
"CD180",-64.6,39.676,-4.1754676783826,0.000141623948181183,0.00904757846892143,-3.93391621602251,"Downregulated"
"PPRC1",-41.8446666666667,76.3688888888889,-4.17484587502617,0.000141899286788916,0.00904757846892143,-3.93407156106144,"Downregulated"
"TRIP13",-113.540666666667,515.778444444444,-4.13542839857306,0.000160459540964682,0.0100193150613395,-3.94392388087794,"Downregulated"
"RERE",-130.858,631.06,-4.12653456450115,0.000164963193640975,0.0102299777755164,-3.94614806959508,"Downregulated"
"HMGB2",-725.354666666666,3067.92,-4.10679615662791,0.000175402153377487,0.0106583295079179,-3.95108572139519,"Downregulated"
"TBL2",-56.6746666666666,225.391333333333,-4.08092584355188,0.000190061344451735,0.011396128560702,-3.95756004478968,"Downregulated"
"MAT2A",-109.958,339.856666666667,-4.07095318576432,0.000196024691245598,0.0116763654903792,-3.96005656821243,"Downregulated"
"RIOX2",-36.6026666666666,93.4215555555556,-4.02919231564416,0.000223032470959672,0.0130279741423798,-3.97051480807974,"Downregulated"
"LPCAT1",-288.802666666667,915.429444444444,-4.00181031978339,0.000242667248821837,0.0140840337873905,-3.97737502033438,"Downregulated"
"RANGAP1",-232.848666666667,628.770666666667,-3.98491991091919,0.000255604705935053,0.0146471203008605,-3.98160759384535,"Downregulated"
"MPZL1",-27.6326666666667,97.6211111111111,-3.97837479881776,0.00026079583508365,0.0148078841571151,-3.98324788900169,"Downregulated"
"AURKB",-550.340666666667,1596.32977777778,-3.97727115303087,0.000261681186783567,0.0148078841571151,-3.98352448543847,"Downregulated"
"LDLR",-41.237,94.5727777777778,-3.96101012300449,0.000275068680083775,0.0153930823716007,-3.98760006355639,"Downregulated"
"PTDSS1",-256.706000000001,1651.95888888889,-3.95317771364815,0.000281751665150625,0.015460482280447,-3.98956327048359,"Downregulated"
"CHD1",-107.557333333333,483.672,-3.91055792295466,0.000320966889076784,0.0172978227006024,-4.00024694016259,"Downregulated"
"TMEM109",-182.732333333333,815.988444444444,-3.89929084532126,0.000332187128073456,0.017549279147078,-4.00307141772747,"Downregulated"
"ITGA4",-119.026,250.713222222222,-3.89829348871545,0.000333198433470695,0.017549279147078,-4.00332143877828,"Downregulated"
"ZNF146",-165.038,1362.51777777778,-3.898108921748,0.000333385908250212,0.017549279147078,-4.00336770669109,"Downregulated"
"CEBPG",-52.2693333333333,211.466444444444,-3.8800292753139,0.000352253714846292,0.0181609045417791,-4.00789992303231,"Downregulated"
"CDC25B",-125.022666666667,248.525333333333,-3.87239850118085,0.000360523571151778,0.0183380922090348,-4.00981275645382,"Downregulated"
"SLC4A7",-62.4286666666666,169.744444444444,-3.85053138467265,0.00038527561295645,0.0192764015325648,-4.01529396083,"Downregulated"
"JMJD6",-35.5655555555556,195.893259259259,-3.85045351172292,0.000385366629173,0.0192764015325648,-4.01531347942142,"Downregulated"
"SACM1L",-104.114666666667,426.397111111111,-3.84687870724228,0.000389567236298845,0.0192764015325648,-4.01620948289698,"Downregulated"
"CD22",-143.885,514.175222222222,-3.81244172381086,0.000432365782796357,0.0211602151212877,-4.02483977656477,"Downregulated"
"HK2",-49.684,74.2217777777778,-3.79433054063386,0.000456662069700498,0.0218839949345538,-4.02937759108524,"Downregulated"
"EDRF1",-185.717333333333,507.127555555556,-3.79296864152322,0.000458541418705715,0.0218839949345538,-4.02971878380288,"Downregulated"
"SNUPN",-64.0426666666667,63.6982222222222,-3.76747213379779,0.000495134630126058,0.0231079842327904,-4.03610530273105,"Downregulated"
"TLK1",-213.855333333334,1149.60244444444,-3.76348086640006,0.000501112228809191,0.0231745098894111,-4.03710486332784,"Downregulated"
"XPO7",-92.7219999999999,661.093333333333,-3.7631046512048,0.000501679250974659,0.0231745098894111,-4.03719907853829,"Downregulated"
"MBD4",-158.055333333333,812.747333333333,-3.73195597958912,0.000550834452481381,0.0248122145908777,-4.04499769144863,"Downregulated"
"UBE2G1",-147.235,437.230777777778,-3.72307660848041,0.000565676581083643,0.0252642549159668,-4.04722003838874,"Downregulated"
"EXOC7",-678.97,3108.36511111111,-3.7226197282428,0.000566450601716508,0.0252642549159668,-4.04733437742506,"Downregulated"
"RGS19",-242.128,562.324444444444,-3.71976801596355,0.00057130492093637,0.0253558566380289,-4.04804802576031,"Downregulated"
"GEMIN4",-78.0113333333333,180.895333333333,-3.71486445688528,0.000579745837433037,0.0256049698152133,-4.04927506253662,"Downregulated"
"SAP30",-29.9508888888889,117.863037037037,-3.69312407542114,0.000618638102680651,0.0268091073841753,-4.05471377247052,"Downregulated"
"ELF4",-121.197333333333,577.868,-3.69167511984898,0.000621317601961147,0.0268091073841753,-4.05507616267894,"Downregulated"
"PUM2",-93.7700000000002,577.419333333333,-3.69156563182135,0.000621520527398892,0.0268091073841753,-4.05510354564674,"Downregulated"
"MAPKAPK2",-116.533833333333,543.498111111111,-3.69140683823363,0.000621814949268479,0.0268091073841753,-4.05514325982215,"Downregulated"
"TASOR",-43.7966666666666,180.207555555556,-3.67141264056273,0.000659978757083092,0.0282621921761244,-4.06014263852782,"Downregulated"
"FOXM1",-153.246,534.817555555556,-3.6575682190381,0.000687714004094003,0.0290960868834911,-4.06360289946838,"Downregulated"
"QKI",-43.9656666666667,190.889666666667,-3.63733359833217,0.000730275766441801,0.0306982157261709,-4.06865806030366,"Downregulated"
"KDM3A",-47.3373333333333,134.098222222222,-3.63637069579979,0.000732362999431511,0.0306982157261709,-4.06889854943485,"Downregulated"
"CDV3",-440.291333333334,1971.64544444444,-3.62796971921889,0.000750818159042823,0.0311830624402464,-4.07099644871128,"Downregulated"
"SLBP",-124.513333333333,561.458444444444,-3.61068827673277,0.000790196622294812,0.0325303417559743,-4.07531034227166,"Downregulated"
"DEGS1",-74.8286666666667,429.845111111111,-3.5998500889666,0.000815897031096742,0.0334259353825787,-4.07801465243519,"Downregulated"
"RNF4",-166.032666666667,856.587333333333,-3.58612372971153,0.000849599174534275,0.0344995518097905,-4.08143823669677,"Downregulated"
"REEP5",-72.904,354.061555555556,-3.58607391416808,0.000849723884866719,0.0344995518097905,-4.08145065865366,"Downregulated"
"MAP2K1",-152.398333333333,854.528777777778,-3.57144518582077,0.000887115926624255,0.0355395911489204,-4.0850975357725,"Downregulated"
"NCAPD2",-155.472,617.752888888889,-3.56547559160564,0.000902823676201639,0.0355494791118776,-4.0865851851208,"Downregulated"
"GSPT1",-136.717333333333,610.117111111111,-3.5639247258741,0.000906947896076794,0.0355494791118776,-4.08697161489631,"Downregulated"
"TRIM14",-122.244666666667,404.621333333333,-3.56390717867416,0.000906994662562815,0.0355494791118776,-4.08697598701279,"Downregulated"
"CD47",-102.473333333333,407.885333333333,-3.56075673462904,0.000915428748259702,0.0355807341589784,-4.08776091592247,"Downregulated"
"NUP98",-46.9056666666668,284.377444444444,-3.56067380866864,0.000915651762650979,0.0355807341589784,-4.0877815755795,"Downregulated"
"TOR1AIP1",-51.2973333333333,247.159666666667,-3.55564674483275,0.000929268855797281,0.0358325608796906,-4.08903386761178,"Downregulated"
"ABI1",-83.317,490.841,-3.55536135857419,0.000930047692371027,0.0358325608796906,-4.08910495310972,"Downregulated"
"HEG1",-65.1579999999999,302.262888888889,-3.53426160865299,0.000989395771578813,0.0377974232737324,-4.09435842341655,"Downregulated"
"MGAT1",-144.347333333333,793.942,-3.52778198332173,0.00100833798066158,0.0382725876644558,-4.09597085546889,"Downregulated"
"SLC2A3",-83.0300000000001,227.940888888889,-3.52712153187168,0.00101028809938203,0.0382725876644558,-4.09613518257859,"Downregulated"
"ENDOD1",-65.5953333333333,156.338666666667,-3.51941343979017,0.00103331653414707,0.0386597020668082,-4.09805270325251,"Downregulated"
"ZNF318",-76.9746666666667,286.637555555556,-3.51151341286301,0.00105743945473312,0.0390681800072011,-4.10001732680878,"Downregulated"
"RSBN1",-49.966,189.713111111111,-3.5102023481801,0.00106149461914861,0.0390681800072011,-4.10034330572122,"Downregulated"
"SEC14L1",-272.327333333333,643.261777777778,-3.5072852353534,0.00107057081003712,0.0392427049152878,-4.10106854108442,"Downregulated"
"PALS2",-46.9879999999999,117.323555555556,-3.49282254143811,0.00111667720140851,0.0402226634713399,-4.1046627982949,"Downregulated"
"OGFR",-111.654666666667,498.399111111111,-3.49059047220359,0.00112396000201557,0.0402226634713399,-4.1052173033055,"Downregulated"
"NCAPH",-57.5933333333333,207.765555555556,-3.47652652188283,0.00117090345715474,0.0415739603963883,-4.10870985188947,"Downregulated"
"RAPGEF2",-294.559,724.594111111111,-3.46559905603546,0.00120866588043021,0.0425807816397474,-4.11142191038357,"Downregulated"
"MIOS",-46.0720000000001,224.476888888889,-3.433944872171,0.00132473459896736,0.0461313348425019,-4.11926981626456,"Downregulated"
"TRIM27",-66.228666666667,543.729888888889,-3.42504606380476,0.00135923467881095,0.0469714151982991,-4.1214737596735,"Downregulated"
"DAXX",-109.72,598.261444444444,-3.41224378526808,0.00141037570630609,0.0485533902847733,-4.12464261456876,"Downregulated"
"TMPO",-82.286,227.509222222222,-3.4016203600571,0.001454201363246,0.049684298652186,-4.12727045528342,"Downregulated"
